id,sentence_id,timestamp,source,entity,value,start,end,confidence
0,740,2018-11-14 10:28:41,gold standard,WebService,Facebook,15,23,-1.0
1,741,2018-11-14 10:28:41,gold standard,WebService,Facebook,19,27,-1.0
2,741,2018-11-14 10:28:41,classification,WebService,facebook,19,27,0.8139574251259918
3,742,2018-11-14 10:28:41,gold standard,WebService,Pandora,19,26,-1.0
4,743,2018-11-14 10:28:41,gold standard,WebService,Trello,38,44,-1.0
5,744,2018-11-14 10:28:41,gold standard,WebService,iGoogle,34,41,-1.0
6,745,2018-11-14 10:28:41,gold standard,WebService,Trello,31,37,-1.0
7,746,2018-11-14 10:28:41,gold standard,WebService,Flickr,33,39,-1.0
8,746,2018-11-14 10:28:41,gold standard,WebService,Picasa,43,49,-1.0
9,747,2018-11-14 10:28:41,gold standard,WebService,Google Calendar,14,29,-1.0
10,747,2018-11-14 10:28:41,gold standard,WebService,Outlook Calendar,38,54,-1.0
11,747,2018-11-14 10:28:41,classification,WebService,google calendar,14,29,0.953487667352869
12,747,2018-11-14 10:28:41,classification,WebService,outlook calendar,38,54,0.6729672934397174
13,748,2018-11-14 10:28:41,gold standard,WebService,Google Reader,55,68,-1.0
14,748,2018-11-14 10:28:41,classification,WebService,google reader,55,68,0.8165515311443325
15,749,2018-11-14 10:28:41,gold standard,WebService,160by2,20,26,-1.0
16,749,2018-11-14 10:28:41,classification,WebService,160by2,20,26,0.8139574253052407
17,750,2018-11-14 10:28:41,gold standard,WebService,Yahoo mail,32,42,-1.0
18,750,2018-11-14 10:28:41,classification,WebService,yahoo,32,37,0.4703056881074658
19,751,2018-11-14 10:28:41,gold standard,WebService,Google Analytics,34,50,-1.0
20,751,2018-11-14 10:28:41,classification,WebService,google,34,40,0.8480536479154648
21,752,2018-11-14 10:28:41,gold standard,WebService,imgur,17,22,-1.0
22,752,2018-11-14 10:28:41,classification,WebService,imgur,17,22,0.8139568571114062
