id,intent_id,timestamp,source,entity,value,start,end,confidence
0,0,2019-02-11 11:54:32,gold standard,party_size_description,my babies and I,23,38,-1.0
1,1,2019-02-11 11:54:32,gold standard,restaurant_type,restaurant,25,35,-1.0
2,1,2019-02-11 11:54:32,gold standard,spatial_relation,not far,36,43,-1.0
3,1,2019-02-11 11:54:32,gold standard,state,MA,49,51,-1.0
4,2,2019-02-11 11:54:32,gold standard,restaurant_type,restaurant,23,33,-1.0
5,2,2019-02-11 11:54:32,gold standard,country,Tanzania,37,45,-1.0
6,2,2019-02-11 11:54:32,gold standard,spatial_relation,within walking distance,54,77,-1.0
7,2,2019-02-11 11:54:32,gold standard,party_size_description,my mom and I,82,94,-1.0
8,3,2019-02-11 11:54:32,gold standard,restaurant_type,oyster bar,26,36,-1.0
9,4,2019-02-11 11:54:32,gold standard,party_size_number,6,23,24,-1.0
10,4,2019-02-11 11:54:32,gold standard,cuisine,creole,38,44,-1.0
11,4,2019-02-11 11:54:32,gold standard,restaurant_type,tavern,45,51,-1.0
12,4,2019-02-11 11:54:32,gold standard,country,Montenegro,55,65,-1.0
13,5,2019-02-11 11:54:32,gold standard,city,Sacaton,18,25,-1.0
14,5,2019-02-11 11:54:32,gold standard,cuisine,gluten free,31,42,-1.0
15,5,2019-02-11 11:54:32,gold standard,restaurant_type,restaurant,43,53,-1.0
16,6,2019-02-11 11:54:32,gold standard,party_size_description,me and my grandfather,13,34,-1.0
17,6,2019-02-11 11:54:32,gold standard,spatial_relation,nearby,35,41,-1.0
18,6,2019-02-11 11:54:32,gold standard,poi,West Reading,42,54,-1.0
19,7,2019-02-11 11:54:32,gold standard,party_size_description,me and my nieces,5,21,-1.0
20,7,2019-02-11 11:54:32,gold standard,served_dish,seafood,42,49,-1.0
21,7,2019-02-11 11:54:32,gold standard,restaurant_type,restaurant,50,60,-1.0
22,7,2019-02-11 11:54:32,gold standard,city,Cle Elum,64,72,-1.0
23,7,2019-02-11 11:54:32,gold standard,state,NE,74,76,-1.0
24,7,2019-02-11 11:54:32,gold standard,timeRange,ascension day,80,93,-1.0
25,8,2019-02-11 11:54:32,gold standard,party_size_number,two,14,17,-1.0
26,8,2019-02-11 11:54:32,gold standard,restaurant_name,City Tavern,21,32,-1.0
27,9,2019-02-11 11:54:32,gold standard,restaurant_type,brasserie,17,26,-1.0
28,9,2019-02-11 11:54:32,gold standard,party_size_number,3,31,32,-1.0
29,9,2019-02-11 11:54:32,gold standard,country,Netherlands Antilles,43,63,-1.0
30,10,2019-02-11 11:54:32,gold standard,sort,best,30,34,-1.0
31,10,2019-02-11 11:54:32,gold standard,restaurant_type,bistro,35,41,-1.0
32,11,2019-02-11 11:54:32,gold standard,sort,best,9,13,-1.0
33,11,2019-02-11 11:54:32,gold standard,country,Tanzania,23,31,-1.0
34,11,2019-02-11 11:54:32,gold standard,party_size_number,5,36,37,-1.0
35,11,2019-02-11 11:54:32,gold standard,restaurant_type,diner,50,55,-1.0
36,12,2019-02-11 11:54:32,gold standard,restaurant_type,joint,17,22,-1.0
37,12,2019-02-11 11:54:32,gold standard,facility,spa,29,32,-1.0
38,13,2019-02-11 11:54:32,gold standard,restaurant_type,gastropub,7,16,-1.0
39,13,2019-02-11 11:54:32,gold standard,cuisine,turkish,29,36,-1.0
40,13,2019-02-11 11:54:32,gold standard,party_size_number,4,46,47,-1.0
