id,intent_id,timestamp,source,entity,value,start,end,confidence
0,106,2019-02-11 11:45:09,gold standard,StationDest,marienplatz,13,24,-1.0
1,107,2019-02-11 11:45:09,gold standard,Vehicle,train,17,22,-1.0
2,107,2019-02-11 11:45:09,gold standard,Criterion,next,12,16,-1.0
3,107,2019-02-11 11:45:09,gold standard,StationStart,muncher freiheit,26,42,-1.0
4,108,2019-02-11 11:45:09,gold standard,Vehicle,u-bahn,19,25,-1.0
5,108,2019-02-11 11:45:09,gold standard,Criterion,next,14,18,-1.0
6,108,2019-02-11 11:45:09,gold standard,StationStart,garching forschungszentrum,38,64,-1.0
7,109,2019-02-11 11:45:09,gold standard,StationStart,olympia einkaufszentrum,5,28,-1.0
8,109,2019-02-11 11:45:09,gold standard,StationDest,hauptbahnhof,32,44,-1.0
9,110,2019-02-11 11:45:09,gold standard,Vehicle,train,17,22,-1.0
10,110,2019-02-11 11:45:09,gold standard,Criterion,next,12,16,-1.0
11,110,2019-02-11 11:45:09,gold standard,StationStart,winterstraße 12,28,43,-1.0
12,110,2019-02-11 11:45:09,gold standard,StationDest,kieferngarten,47,60,-1.0
13,111,2019-02-11 11:45:09,gold standard,Vehicle,rocket,17,23,-1.0
14,111,2019-02-11 11:45:09,gold standard,Criterion,next,12,16,-1.0
15,111,2019-02-11 11:45:09,gold standard,StationStart,winterstraße 12,29,44,-1.0
16,111,2019-02-11 11:45:09,gold standard,StationDest,kieferngarte,48,60,-1.0
17,112,2019-02-11 11:45:09,gold standard,StationStart,garching,31,39,-1.0
18,112,2019-02-11 11:45:09,gold standard,StationDest,hauptbahnhof,43,55,-1.0
19,113,2019-02-11 11:45:09,gold standard,StationStart,untere strassäcker 21,16,37,-1.0
20,113,2019-02-11 11:45:09,gold standard,StationDest,fröttmaning,41,52,-1.0
21,114,2019-02-11 11:45:09,gold standard,StationStart,marienplatz,19,30,-1.0
22,114,2019-02-11 11:45:09,gold standard,StationDest,garching,34,42,-1.0
23,115,2019-02-11 11:45:09,gold standard,StationStart,boltzmannstraße,16,31,-1.0
24,115,2019-02-11 11:45:09,gold standard,StationDest,kieferngarten,35,48,-1.0
25,116,2019-02-11 11:45:09,gold standard,StationStart,bonner platz,16,28,-1.0
26,116,2019-02-11 11:45:09,gold standard,StationDest,freimann,32,40,-1.0
27,117,2019-02-11 11:45:09,gold standard,Vehicle,s-bahn,17,23,-1.0
28,117,2019-02-11 11:45:09,gold standard,Criterion,next,12,16,-1.0
29,117,2019-02-11 11:45:09,gold standard,StationStart,garching,35,43,-1.0
30,118,2019-02-11 11:45:09,gold standard,StationStart,oez,18,21,-1.0
31,118,2019-02-11 11:45:09,gold standard,StationDest,hbf,25,28,-1.0
32,119,2019-02-11 11:45:09,gold standard,StationStart,winterstrasse 12,16,32,-1.0
33,119,2019-02-11 11:45:09,gold standard,StationDest,fröttmaning,36,47,-1.0
34,120,2019-02-11 11:45:09,gold standard,StationStart,garching forschungszentrum,18,44,-1.0
35,120,2019-02-11 11:45:09,gold standard,StationDest,pasing,48,54,-1.0
