id,intent_id,timestamp,source,entity,value,start,end,confidence
0,254,2019-02-11 11:35:45,gold standard,SoftwareName,Word,34,38,-1.0
1,257,2019-02-11 11:35:45,gold standard,SoftwareName,iTunes,24,30,-1.0
2,261,2019-02-11 11:35:45,gold standard,SoftwareName,Project,65,72,-1.0
3,320,2019-02-11 11:39:25,gold standard,SoftwareName,Word,34,38,-1.0
4,323,2019-02-11 11:39:25,gold standard,SoftwareName,iTunes,24,30,-1.0
5,327,2019-02-11 11:39:25,gold standard,SoftwareName,Project,65,72,-1.0
6,349,2019-02-11 11:39:25,gold standard,UbuntuVersion,11.10,15,20,-1.0
7,349,2019-02-11 11:39:25,gold standard,UbuntuVersion,12.04,24,29,-1.0
8,350,2019-02-11 11:39:25,gold standard,UbuntuVersion,16.04,43,48,-1.0
9,351,2019-02-11 11:39:25,gold standard,UbuntuVersion,15.04,21,26,-1.0
10,352,2019-02-11 11:39:25,gold standard,UbuntuVersion,13.10,28,33,-1.0
11,352,2019-02-11 11:39:25,gold standard,UbuntuVersion,14.04,37,42,-1.0
12,353,2019-02-11 11:39:25,gold standard,UbuntuVersion,12.04,22,27,-1.0
13,353,2019-02-11 11:39:25,gold standard,UbuntuVersion,13.10,31,36,-1.0
14,355,2019-02-11 11:39:25,gold standard,UbuntuVersion,12.04,15,20,-1.0
15,355,2019-02-11 11:39:25,gold standard,UbuntuVersion,13.10,24,29,-1.0
16,356,2019-02-11 11:39:25,gold standard,UbuntuVersion,13.10,20,25,-1.0
17,356,2019-02-11 11:39:25,gold standard,UbuntuVersion,13.04,38,43,-1.0
18,357,2019-02-11 11:39:25,gold standard,UbuntuVersion,Lubuntu 15.04,32,45,-1.0
19,358,2019-02-11 11:39:25,gold standard,UbuntuVersion,12.10,14,19,-1.0
20,358,2019-02-11 11:39:25,gold standard,UbuntuVersion,13.04,23,28,-1.0
21,359,2019-02-11 11:39:25,gold standard,UbuntuVersion,11.10,32,37,-1.0
22,359,2019-02-11 11:39:25,gold standard,UbuntuVersion,11.04,50,55,-1.0
23,360,2019-02-11 11:39:25,gold standard,UbuntuVersion,Ubuntu 9.10,25,29,-1.0
24,361,2019-02-11 11:39:25,gold standard,UbuntuVersion,15.10,30,35,-1.0
25,361,2019-02-11 11:39:25,gold standard,UbuntuVersion,14.04,41,46,-1.0
