id,intent_id,timestamp,source,entity,value,start,end,confidence
0,59,2019-02-11 11:49:24,gold standard,WebService,Facebook,15,23,-1.0
1,60,2019-02-11 11:49:24,gold standard,WebService,Facebook,19,27,-1.0
2,61,2019-02-11 11:49:24,gold standard,WebService,Pandora,19,26,-1.0
3,62,2019-02-11 11:49:24,gold standard,WebService,Trello,38,44,-1.0
4,63,2019-02-11 11:49:24,gold standard,WebService,iGoogle,34,41,-1.0
5,64,2019-02-11 11:49:24,gold standard,WebService,Trello,31,37,-1.0
6,65,2019-02-11 11:49:24,gold standard,WebService,Flickr,33,39,-1.0
7,65,2019-02-11 11:49:24,gold standard,WebService,Picasa,43,49,-1.0
8,66,2019-02-11 11:49:24,gold standard,WebService,Google Calendar,14,29,-1.0
9,66,2019-02-11 11:49:24,gold standard,WebService,Outlook Calendar,38,54,-1.0
10,67,2019-02-11 11:49:24,gold standard,WebService,Google Reader,55,68,-1.0
11,68,2019-02-11 11:49:24,gold standard,WebService,160by2,20,26,-1.0
12,69,2019-02-11 11:49:24,gold standard,WebService,Yahoo mail,32,42,-1.0
13,70,2019-02-11 11:49:24,gold standard,WebService,Google Analytics,34,50,-1.0
14,71,2019-02-11 11:49:24,gold standard,WebService,imgur,17,22,-1.0
15,72,2019-02-11 11:49:24,gold standard,WebService,Uber,17,21,-1.0
16,73,2019-02-11 11:49:24,gold standard,WebService,Sify Mail,16,25,-1.0
17,74,2019-02-11 11:49:24,gold standard,WebService,37signals,28,37,-1.0
18,75,2019-02-11 11:49:24,gold standard,WebService,Hunch,20,25,-1.0
19,76,2019-02-11 11:49:24,gold standard,WebService,Google Apps,20,31,-1.0
20,77,2019-02-11 11:49:24,gold standard,WebService,Evernote,0,8,-1.0
21,78,2019-02-11 11:49:24,gold standard,WebService,LibraryThing,16,28,-1.0
22,79,2019-02-11 11:49:24,gold standard,WebService,Facebook,29,37,-1.0
23,80,2019-02-11 11:49:24,gold standard,WebService,Google,49,55,-1.0
24,81,2019-02-11 11:49:24,gold standard,WebService,Google,21,27,-1.0
25,82,2019-02-11 11:49:24,gold standard,WebService,flickr,35,41,-1.0
26,82,2019-02-11 11:49:24,gold standard,WebService,OpenID,54,60,-1.0
27,83,2019-02-11 11:49:24,gold standard,WebService,Google Alerts,24,37,-1.0
28,85,2019-02-11 11:49:24,gold standard,WebService,Prezi,31,36,-1.0
29,86,2019-02-11 11:49:24,gold standard,WebService,Google Streetview,20,37,-1.0
30,87,2019-02-11 11:49:24,gold standard,WebService,Zencoder,0,8,-1.0
31,88,2019-02-11 11:49:24,gold standard,WebService,Google Calendar,29,44,-1.0
32,89,2019-02-11 11:49:24,gold standard,WebService,Stack Exchange,24,38,-1.0
33,90,2019-02-11 11:49:24,gold standard,WebService,Picasa,20,26,-1.0
34,90,2019-02-11 11:49:24,gold standard,WebService,Facebook,58,66,-1.0
35,91,2019-02-11 11:49:24,gold standard,WebService,Facebook,16,24,-1.0
36,91,2019-02-11 11:49:24,gold standard,WebService,Google Apps,37,48,-1.0
37,92,2019-02-11 11:49:24,gold standard,WebService,Facebook,14,22,-1.0
38,92,2019-02-11 11:49:24,gold standard,WebService,Twitter,23,30,-1.0
39,92,2019-02-11 11:49:24,gold standard,WebService,Foursquare,33,43,-1.0
40,93,2019-02-11 11:49:24,gold standard,WebService,Google Calendar,0,15,-1.0
41,94,2019-02-11 11:49:24,gold standard,WebService,Google,0,6,-1.0
42,95,2019-02-11 11:49:24,gold standard,WebService,Gmail,0,5,-1.0
43,95,2019-02-11 11:49:24,gold standard,WebService,Google,26,32,-1.0
44,96,2019-02-11 11:49:24,gold standard,WebService,ebay,31,35,-1.0
45,97,2019-02-11 11:49:24,gold standard,WebService,Gmail,0,5,-1.0
46,98,2019-02-11 11:49:24,gold standard,WebService,Wordpress,26,35,-1.0
47,99,2019-02-11 11:49:24,gold standard,WebService,Yahoo,25,30,-1.0
48,100,2019-02-11 11:49:24,gold standard,WebService,Google,45,51,-1.0
49,101,2019-02-11 11:49:24,gold standard,WebService,Gmail,50,55,-1.0
50,102,2019-02-11 11:49:24,gold standard,WebService,Gmail,37,42,-1.0
51,104,2019-02-11 11:49:24,gold standard,WebService,Gmail,32,37,-1.0
52,105,2019-02-11 11:49:24,gold standard,WebService,Gmail,36,41,-1.0
53,106,2019-02-11 11:49:24,gold standard,WebService,Gmail,18,23,-1.0
54,108,2019-02-11 11:49:24,gold standard,WebService,Postini,25,32,-1.0
55,109,2019-02-11 11:49:24,gold standard,WebService,Google,30,36,-1.0
56,110,2019-02-11 11:49:24,gold standard,WebService,Gmail,33,38,-1.0
57,111,2019-02-11 11:49:24,gold standard,WebService,Facebook,39,47,-1.0
58,112,2019-02-11 11:49:24,gold standard,WebService,Gmail,34,39,-1.0
59,113,2019-02-11 11:49:24,gold standard,WebService,Gmail,0,5,-1.0
60,114,2019-02-11 11:49:24,gold standard,WebService,Gmail,32,37,-1.0
61,115,2019-02-11 11:49:24,gold standard,WebService,YouTube,25,32,-1.0
62,116,2019-02-11 11:49:24,gold standard,WebService,PayPal,20,26,-1.0
63,117,2019-02-11 11:49:24,gold standard,WebService,OkCupid,14,21,-1.0
